Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
maggie-2-minutes-noodles-masala,Maggie -- 2 Minute Noodles (Masala),Various Sizes,Kaaram,,popular,TRUE,Size,70,,,,,,70,shopify,50,deny,manual,1.99,,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0270/6096/1322/products/SpicyMaggie.jpg?v=1588211811,1,,FALSE,,,,,,,,,,,,,,,,,g,,1
maggie-2-minutes-noodles-masala,,,,,,,,600,,,,,,70,shopify,100,deny,manual,5.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,1
swad-toor-dal-split-pigeon-peas,Swad -- Toor Dal (Split Pigeon Peas),Various Sizes,Kaaram,Dal,"popular, dal",TRUE,Size,2,,,,,,907.18474,shopify,6,deny,manual,4.99,,FALSE,TRUE,,https://images-na.ssl-images-amazon.com/images/I/91EZikstTPL._SL1500_.jpg,1,,FALSE,,,,,,,,,,,,,,,,,lb,,3.99
swad-toor-dal-split-pigeon-peas,,,,,,,,4,,,,,,907.18474,shopify,4,deny,manual,6.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,3.99
swad-toor-dal-split-pigeon-peas,,,,,,,,12,,,,,,907.18474,shopify,10,deny,manual,12.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,3.99
brooke-bond-red-label-100-250-500-1000-grams,Brooke Bond Red Label,Various Sizes,Kaaram,Dairy,"popular, dairy",TRUE,Size,100,,,,,,100,shopify,4,deny,manual,3.99,,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0270/6096/1322/products/RedLabel.jpg?v=1588209692,1,,FALSE,,,,,,,,,,,,,,,,,g,,2.99
brooke-bond-red-label-100-250-500-1000-grams,,,,,,,,250,,,,,,100,shopify,2,deny,manual,5.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,2.99
brooke-bond-red-label-100-250-500-1000-grams,,,,,,,,500,,,,,,100,shopify,5,deny,manual,10.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,2.99
brooke-bond-red-label-100-250-500-1000-grams,,,,,,,,1000,,,,,,100,shopify,8,deny,manual,20.99,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,2.99
aashirvaad-whole-wheat-atta-20lbs,Aashirvaad -- Whole Wheat Atta ,Various Sizes,Kaaram,Flour,"popular, flour",TRUE,Title,Default Title,,,,,,9071.8474,shopify,5,deny,manual,14.99,,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0270/6096/1322/products/AashirvaadAata.jpg?v=1588209105,1,,FALSE,,,,,,,,,,,,,,,,,lb,,10
desi-natural-dhai-whole-milk-yogurt-32oz,Desi Natural Dhai -- Whole Milk Yogurt ,Various Sizes,Kaaram,Dairy,"popular, dairy",TRUE,Title,Default Title,,,,,,907.18474,shopify,2,deny,manual,3.99,,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0270/6096/1322/products/DesiDhai32oz.jpg?v=1588178487,1,,FALSE,,,,,,,,,,,,,,,,,oz,,3
